,smiles_string,prop,value
123,[*]/C(=C(/[*])c1ccc2c(c1)Cc1ccccc1-2)c1ccc([Si](C)(C)C)cc1,p_exp_CH4,-6.698970004
124,[*]/C(=C(/[*])c1ccc2c(c1)Cc1ccccc1-2)c1ccc([Si](C)(C)C)cc1,p_exp_CO2,-6.190440285
125,[*]/C(=C(/[*])c1ccc2c(c1)Cc1ccccc1-2)c1ccc([Si](C)(C)C)cc1,p_exp_H2,-6.508638306
126,[*]/C(=C(/[*])c1ccc2c(c1)Cc1ccccc1-2)c1ccc([Si](C)(C)C)cc1,p_exp_He,-6.886056648
127,[*]/C(=C(/[*])c1ccc2c(c1)Cc1ccccc1-2)c1ccc([Si](C)(C)C)cc1,p_exp_N2,-7.022276395
128,[*]/C(=C(/[*])c1ccc2c(c1)Cc1ccccc1-2)c1ccc([Si](C)(C)C)cc1,p_exp_O2,-6.782516056
129,[*]/C(=C(/[*])c1ccc2c(c1)Cc1ccccc1-2)c1ccccc1,p_exp_CH4,-6.619788758
130,[*]/C(=C(/[*])c1ccc2c(c1)Cc1ccccc1-2)c1ccccc1,p_exp_CO2,-6.070581074
131,[*]/C(=C(/[*])c1ccc2c(c1)Cc1ccccc1-2)c1ccccc1,p_exp_H2,-6.437707136
132,[*]/C(=C(/[*])c1ccc2c(c1)Cc1ccccc1-2)c1ccccc1,p_exp_He,-6.795880017
133,[*]/C(=C(/[*])c1ccc2c(c1)Cc1ccccc1-2)c1ccccc1,p_exp_N2,-6.886056648
134,[*]/C(=C(/[*])c1ccc2c(c1)Cc1ccccc1-2)c1ccccc1,p_exp_O2,-6.66756154
135,[*]/C(=C(/[*])c1ccc2c(ccc3ccccc32)c1)c1ccc([Si](C)(C)C)cc1,p_exp_CH4,-7.301029996
136,[*]/C(=C(/[*])c1ccc2c(ccc3ccccc32)c1)c1ccc([Si](C)(C)C)cc1,p_exp_CO2,-6.677780705
137,[*]/C(=C(/[*])c1ccc2c(ccc3ccccc32)c1)c1ccc([Si](C)(C)C)cc1,p_exp_H2,-7.045757491
138,[*]/C(=C(/[*])c1ccc2c(ccc3ccccc32)c1)c1ccc([Si](C)(C)C)cc1,p_exp_He,-7.346787486
139,[*]/C(=C(/[*])c1ccc2c(ccc3ccccc32)c1)c1ccc([Si](C)(C)C)cc1,p_exp_N2,-7.721246399
140,[*]/C(=C(/[*])c1ccc2c(ccc3ccccc32)c1)c1ccc([Si](C)(C)C)cc1,p_exp_O2,-7.337242168
141,[*]/C(=C(/[*])c1ccc2c(ccc3ccccc32)c1)c1ccccc1,p_exp_CH4,-6.838631998
142,[*]/C(=C(/[*])c1ccc2c(ccc3ccccc32)c1)c1ccccc1,p_exp_CO2,-6.27572413
143,[*]/C(=C(/[*])c1ccc2c(ccc3ccccc32)c1)c1ccccc1,p_exp_H2,-6.602059991
144,[*]/C(=C(/[*])c1ccc2c(ccc3ccccc32)c1)c1ccccc1,p_exp_He,-6.93930216
145,[*]/C(=C(/[*])c1ccc2c(ccc3ccccc32)c1)c1ccccc1,p_exp_N2,-7.187086643
146,[*]/C(=C(/[*])c1ccc2c(ccc3ccccc32)c1)c1ccccc1,p_exp_O2,-6.886056648
147,[*]/C(=C(/[*])c1cccc(-c2ccc(C(C)(C)C)cc2)c1)c1ccccc1,p_exp_CH4,-7.721246399
148,[*]/C(=C(/[*])c1cccc(-c2ccc(C(C)(C)C)cc2)c1)c1ccccc1,p_exp_CO2,-6.913640169
149,[*]/C(=C(/[*])c1cccc(-c2ccc(C(C)(C)C)cc2)c1)c1ccccc1,p_exp_H2,-7.341988603
150,[*]/C(=C(/[*])c1cccc(-c2ccc(C(C)(C)C)cc2)c1)c1ccccc1,p_exp_He,-7.66756154
151,[*]/C(=C(/[*])c1cccc(-c2ccc(C(C)(C)C)cc2)c1)c1ccccc1,p_exp_N2,-8.151810883
152,[*]/C(=C(/[*])c1cccc(-c2ccc(C(C)(C)C)cc2)c1)c1ccccc1,p_exp_O2,-7.709965389
153,[*]/C(=C(/[*])c1cccc(-c2ccccc2)c1)c1ccccc1,p_exp_CH4,-7.769551079
154,[*]/C(=C(/[*])c1cccc(-c2ccccc2)c1)c1ccccc1,p_exp_CO2,-6.886056648
155,[*]/C(=C(/[*])c1cccc(-c2ccccc2)c1)c1ccccc1,p_exp_H2,-7.356547324
156,[*]/C(=C(/[*])c1cccc(-c2ccccc2)c1)c1ccccc1,p_exp_He,-7.698970004
157,[*]/C(=C(/[*])c1cccc(-c2ccccc2)c1)c1ccccc1,p_exp_N2,-8.187086643
158,[*]/C(=C(/[*])c1cccc(-c2ccccc2)c1)c1ccccc1,p_exp_O2,-7.744727495
159,[*]/C(=C(/[*])c1cccc([Si](C)(C)C)c1)c1ccccc1,p_exp_CH4,-7.070581074
160,[*]/C(=C(/[*])c1cccc([Si](C)(C)C)c1)c1ccccc1,p_exp_CO2,-6.548213564
161,[*]/C(=C(/[*])c1cccc([Si](C)(C)C)c1)c1ccccc1,p_exp_H2,-6.882728704
162,[*]/C(=C(/[*])c1cccc([Si](C)(C)C)c1)c1ccccc1,p_exp_He,-7.197226275
163,[*]/C(=C(/[*])c1cccc([Si](C)(C)C)c1)c1ccccc1,p_exp_N2,-7.449771647
164,[*]/C(=C(/[*])c1cccc([Si](C)(C)C)c1)c1ccccc1,p_exp_O2,-7.142667504
