,smiles_string,prop,value
141,[*]C=CC(=O)OC([*])C1CCCO1,Tg,533.0893422
142,[*]CC(C)(C)C=C[*],Tg,610.0985601
143,C(=O)(O[S](c1ccccc1)c1cc([*])ccc1)O[S](c1ccccc1)c1cc([*])ccc1,Tg,664.2017263
144,[*]CCOC(=O)C(=C([*]))C#N,Tg,695.1843713
145,O(C(=O)c1ccc(cc1)C(=O)OCCCCCCCCC[*])CCCCCCCCC[*],Tg,562.2118562
146,[*]CCCCOC(=O)c1cccc(c1)C(=O)OCCCC[*],Tg,570.1642723
147,[*]C1=CC(=CC=C1C(=O)C2=CC=C(C([*])=C2)Cl)Cl,Tg,701.1323407
148,[*]CCOC(=O)C=CC(=O)OCC[*],Tg,557.1857489
149,[*]COC(=O)C=CC(=O)OC[*],Tg,646.1003853
150,[*]CCCOC(=O)C=CC(=O)OCCC[*],Tg,532.1082593
151,C(CO[*])CO[*],Tg,470.1105527
152,[*]CC(=O)Oc1ccccc1C(O[*])=O,Tg,480.175503
153,[*]COC(=O)CC(=C)C(=O)OC[*],Tg,646.1003853
154,[*]CCCOC(=O)CC(=C)C(=O)OCCC[*],Tg,579.1619211
155,[*]CC(OC(=O)C(C[*])=C)N(C)C,Tg,565.1971978
156,[*]CC(=C)C(=O)OC([*])C(F)(F)F,Tg,620.1546437
157,[*]CC(=C)C(=O)OC([*])C(C(F)F)(F)F,Tg,617.1631685
158,[*]CC(=C)C(=O)OC([*])C1CO1,Tg,607.155593
159,*CC(=C)C(=O)OC(*)C1CCCO1,Tg,600.2055404
160,[*]Cc1ccc(C([*]))c(Cl)c1,Tg,629.2163513
161,[*]C1=C=CC=C=C1[*],Tg,811.14781
162,*Oc1c(cc([*])cc1-c1ccccc1)-c1ccccc1,Tg,770.1937676
163,*CCC1=CC=C(C=C1)C=C*,Tg,599.1009386
164,*C1C([*])S1,Tg,496.1351536
165,*C(F)=COC(F)(F)*,Tg,541.1279918
166,*C=C(*)C(=O)C1=CC=C(C=C1)Cl,Tg,609.1159895
167,*CC(=C)C(=O)C*,Tg,643.1318236
168,*CCC(=O)C=C*,Tg,486.1832585
169,*CC(=O)C=C*,Tg,574.1164622
170,*CCCCSC=C*,Tg,526.1384003
171,*CCSC=C*,Tg,539.1380705
172,S([*])c1ccccc1C([*])=C,Tg,659.1738952
173,c1ccc2cc3ccccc3c(c2c1)\C([*])=C[*],Tg,487.1918336
